id,mesto_na_lestvici,izvajalec,naslov,tednov_na_lestvici,najvišje_mesto,tednov,povp_mesto,feat
0,1,Ed Sheeran,Perfect,57,1,40,12.000000000000002,False
1,2,Post Malone Featuring 21 Savage,Rockstar,41,1,27,15.37037037037037,True
2,3,Camila Cabello Featuring Young Thug,Havana,46,1,27,14.555555555555555,True
3,4,G-Eazy Featuring A$AP Rocky & Cardi B,No Limit,29,4,14,21.285714285714285,True
4,5,Imagine Dragons,Thunder,52,4,18,18.11111111111111,False
5,6,Lil Pump,Gucci Gang,24,3,9,22.88888888888889,False
6,7,"Migos, Nicki Minaj & Cardi B",MotorSport,22,6,14,21.5,True
7,8,Sam Smith,Too Good At Goodbyes,24,4,9,19.666666666666668,False
8,9,Halsey,Bad At Love,33,5,17,21.58823529411765,False
9,10,Cardi B,Bodak Yellow (Money Moves),35,1,10,22.1,False
10,11,Kendrick Lamar Featuring Zacari,Love.,40,11,14,20.571428571428573,True
11,12,Dua Lipa,New Rules,48,6,27,21.66666666666666,False
12,13,Mariah Carey,All I Want For Christmas Is You,29,6,6,12.666666666666666,False
13,14,Cardi B Featuring 21 Savage,Bartier Cardi,20,14,20,34.05,True
14,15,6ix9ine,Gummo,20,12,14,28.642857142857142,False
15,16,Post Malone,I Fall Apart,30,16,17,24.88235294117647,False
16,17,NF,Let You Down,28,12,18,19.11111111111111,False
17,18,Khalid,Young Dumb & Broke,36,18,13,33.0,False
18,19,Ed Sheeran,Shape Of You,59,1,9,21.11111111111111,False
19,20,Demi Lovato,Sorry Not Sorry,36,6,12,34.916666666666664,False
20,21,Maroon 5 Featuring SZA,What Lovers Do,22,9,5,28.2,True
21,22,Gucci Mane Featuring Migos,I Get The Bag,27,11,9,32.44444444444444,True
22,23,Portugal. The Man,Feel It Still,45,4,18,30.055555555555557,False
23,24,G-Eazy & Halsey,Him & I,20,14,17,21.41176470588235,True
24,25,Imagine Dragons,Believer,52,4,6,25.666666666666668,False
25,26,Bebe Rexha & Florida Georgia Line,Meant To Be,52,2,43,14.395348837209303,True
26,27,Charlie Puth,How Long,24,21,13,27.23076923076923,False
27,28,21 Savage,Bank Account,29,12,5,35.8,False
28,29,Selena Gomez X Marshmello,Wolves,23,20,14,29.285714285714285,False
29,30,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Despacito,52,1,3,29.666666666666668,True
30,31,A$AP Ferg Featuring Nicki Minaj,Plain Jane,25,26,12,34.74999999999999,True
31,32,J Balvin & Willy William Featuring Beyonce,Mi Gente,30,3,5,36.0,True
32,33,SZA,The Weekend,25,29,4,39.5,False
33,34,Logic Featuring Alessia Cara & Khalid,1-800-273-8255,42,3,8,40.0,True
34,35,Lil Uzi Vert Featuring Nicki Minaj,The Way Life Goes,23,24,6,38.666666666666664,True
35,36,Brenda Lee,Rockin' Around The Christmas Tree,26,11,5,21.8,False
36,37,Bruno Mars,That's What I Like,52,1,3,35.666666666666664,False
37,38,Andy Williams,It's The Most Wonderful Time Of The Year,9,10,5,19.6,False
38,39,Charlie Puth,Attention,40,5,5,41.2,False
39,40,Taylor Swift Featuring Ed Sheeran & Future,End Game,14,18,9,45.22222222222222,True
40,41,Miguel Featuring Travis Scott,Sky Walker,26,29,13,36.69230769230769,True
41,42,Nat King Cole,The Christmas Song (Merry Christmas To You),16,17,5,30.2,False
42,43,Eminem Featuring Ed Sheeran,River,13,11,12,44.583333333333336,True
43,44,Marshmello Featuring Khalid,Silence,23,30,4,45.25,True
44,45,Thomas Rhett,Marry Me,20,30,17,39.11764705882353,False
45,46,Burl Ives,A Holly Jolly Christmas,9,12,5,25.4,False
46,47,French Montana Featuring Swae Lee,Unforgettable,42,3,5,47.2,True
47,48,P!nk,What About Us,22,13,2,45.5,False
48,49,N*E*R*D & Rihanna,Lemon,22,36,15,46.93333333333333,True
49,50,Post Malone,Candy Paint,21,34,12,70.41666666666667,False
50,51,Kodak Black Featuring XXXTENTACION,Roll In Peace,26,31,8,43.375,True
51,52,Ozuna x Cardi B,La Modelo,14,52,14,77.42857142857143,False
52,53,Offset & Metro Boomin,Ric Flair Drip,31,13,23,35.99999999999999,True
53,54,MAX Featuring gnash,Lights Down Low,28,20,17,34.76470588235294,True
54,55,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,Let Me Go,22,40,9,46.22222222222222,True
55,56,Brett Young,Like I Loved You,20,46,7,57.714285714285715,False
56,57,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",Pills And Automobiles,20,46,5,53.0,True
57,58,LANCO,Greatest Love Story,21,45,5,59.2,False
58,59,YBN Nahmir,Rubbin Off The Paint,17,46,10,76.8,False
59,60,Macklemore Featuring Kesha,Good Old Days,20,48,11,53.81818181818182,True
60,61,Taylor Swift,...Ready For It?,20,4,4,73.75,False
61,62,Russell Dickerson,Yours,20,49,10,58.2,False
62,63,Blake Shelton,I'll Name The Dogs,20,56,5,73.0,False
63,64,Tay-K,The Race,20,44,1,64,False
64,65,Huncho Jack Featuring Takeoff,Eye 2 Eye,1,65,1,65,True
65,66,Taylor Swift,Look What You Made Me Do,20,1,2,60.5,False
66,67,6ix9ine,Kooda,9,50,6,76.0,False
67,68,Huncho Jack,Modern Slavery,1,68,1,68,False
68,69,Imagine Dragons + Khalid,Thunder/Young Dumb & Broke (Medley),1,69,1,69,False
69,70,Kodak Black Featuring Lil Wayne,Codeine Dreaming,14,52,10,77.7,True
70,71,Huncho Jack,Black & Chinese,1,71,1,71,False
71,72,Eric Church,Round Here Buzz,19,56,6,68.5,False
72,73,Luke Bryan,Light It Up,19,57,2,71.0,False
73,74,Luis Fonsi & Demi Lovato,Echame La Culpa,20,47,15,77.46666666666667,True
74,75,Lil Xan,Betrayed,20,64,14,72.07142857142857,False
75,76,Chris Young,Losing Sleep,20,60,7,65.14285714285714,False
76,77,YoungBoy Never Broke Again,No Smoke,18,61,15,75.93333333333334,False
77,78,Demi Lovato,Tell Me You Love Me,20,53,16,73.75,False
78,79,Walker Hayes,You Broke Up With Me,19,62,10,68.7,False
79,80,Quavo & Lil Yachty,Ice Tray,6,74,5,81.8,True
80,81,Maren Morris,I Could Use A Love Song,21,56,3,66.33333333333333,False
81,82,BTS Featuring Desiigner,MIC Drop,10,28,6,80.5,True
